-----Data Interpolasi-----
  Data X   Data Y
    2.40     0.00 
    2.65    -1.42 
    2.90    -2.00 
    3.15    -2.58 
    3.40    -1.35 
    3.65    -0.34 
    3.90    -2.02 
    4.15    -2.70 
    4.40    -2.70 
    4.65    -2.70 
    4.90    -2.70 
    5.15    -2.70 
    5.40    -2.70 
    5.65    -2.70 
    5.90    -2.70 
    6.15    -2.70 
    6.40    -2.70 
    6.65    -2.35 
    6.90    -1.44 
    7.15    -1.79 
    7.40    -2.14 
    7.65    -2.49 
    7.90    -2.70 
    8.15    -2.70 
    8.40    -2.23 
    8.65    -1.65 
    8.90    -1.47 
    9.15    -1.91 
    9.40    -2.35 
    9.65    -2.70 
    9.90    -2.70 
   10.15    -4.73 
   10.40    -4.05 
   10.65    -3.04 
   10.90    -4.73 
   11.15    -3.37 
   11.40     0.00 
   11.65    -0.38 
   11.90    -0.75 
   12.15    -1.13 
   12.40    -1.50 
   12.65    -1.88 
   12.90    -2.25 
   13.15    -2.63 
   13.40    -2.70 
   13.65    -2.02 
   13.90    -1.66 
   14.15    -5.82 
   14.40    -9.98 
   14.65   -10.65 
   14.90    -6.05 
   15.15   -14.42 
   15.40   -22.80 
   15.65   -35.52 
   15.90   -32.20 
   16.15   -26.85 
   16.40    -5.40 
   16.65   -62.00 
   16.90   -66.81 
   17.15   -56.34 
   17.40   -45.88 
   17.65   -52.90 
   17.90  -100.77 
   18.15  -104.96 
   18.40  -109.15 
   18.65  -113.38 
   18.90  -117.80 
   19.15  -122.22 
   19.40   -85.60 
   19.65  -126.86 
   19.90  -125.15 
   20.15  -123.44 
   20.40  -117.90 
   20.65  -122.93 
   20.90  -127.96 
   21.15  -132.99 
   21.40  -101.90 
   21.65  -105.96 
   21.90  -115.75 
   22.15  -123.10 
   22.40  -123.10 
   22.65  -123.10 
   22.90  -123.10 
   23.15  -123.10 
   23.40  -128.50 
   23.65  -121.83 
   23.90  -115.17 
   24.15   -99.45 
   24.40   -74.30 
   24.65   -54.86 
   24.90   -61.67 
   25.15   -67.36 
   25.40   -72.30 
   25.65   -24.13 
   25.90   -10.75 
   26.15   -81.67 
   26.40   -65.60 
   26.65   -44.93 
   26.90   -24.27 
   27.15   -38.20 
   27.40   -20.80 
   27.65     4.67 
   27.90     8.00 
   28.15    11.33 
   28.40   -21.50 
   28.65    42.88 
   28.90    22.79 
   29.15     2.69 
   29.40   -17.40 
   29.65    -0.65 
   29.90    16.10 
   30.15    32.85 
   30.40    45.90 
   30.65    58.02 
   30.90    70.15 
   31.15    24.83 
   31.40    19.80 
   31.65    34.42 
   31.90    49.05 
   32.15    53.40 
   32.40    50.90 
   32.65    48.40 
   32.90    41.75 
   33.15    28.87 
   33.40    16.00 
   33.65    34.50 
   33.90    38.22 
   34.15    19.76 
   34.40     1.30 
   34.65    47.36 
   34.90    52.25 
   35.15    -4.62 
   35.40    69.60 
   35.65    28.78 
   35.90    -1.35 
   36.15   -31.47 
   36.40   -28.12 
   36.65   -16.40 
   36.90    -4.68 
   37.15     7.04 
   37.40    18.77 
   37.65    30.49 
   37.90    42.21 
   38.15    41.71 
   38.40    33.07 
   38.65    24.42 
   38.90    15.78 
   39.15     7.13 
   39.40    -1.30 
   39.65    -9.72 
   39.90   -18.13 
   40.15   -18.43 
   40.40   -13.30 
   40.65    -4.11 
   40.90     5.07 
   41.15    14.26 
   41.40    23.45 
   41.65    30.71 
   41.90    30.28 
   42.15    29.84 
   42.40    29.40 
   42.65    11.02 
   42.90     7.35 
   43.15    12.30 
   43.40     8.30 
   43.65     4.30 
   43.90     0.30 
   44.15    -0.81 
   44.40     0.00 
   44.65     4.46 
   44.90     8.92 
   45.15    10.70 
   45.40    10.70 
   45.65    10.70 
   45.90    10.70 
   46.15    10.70 
   46.40    10.70 
   46.65     9.14 
   46.90     1.33 
   47.15    -6.49 
   47.40   -14.30 
   47.65   -22.11 
   47.90   -25.45 
   48.15   -22.07 
   48.40   -18.70 
   48.65   -15.32 
   48.90   -12.56 
   49.15   -10.71 
   49.40    -8.87 
   49.65    -7.02 
   49.90    -5.17 
   50.15    -3.33 
   50.40    -1.48 
   50.65     0.38 
   50.90     2.29 
   51.15     4.20 
   51.40     6.11 
   51.65     8.02 
   51.90     9.94 
   52.15     7.53 
   52.40     2.23 
   52.65    -3.06 
   52.90    -8.35 
   53.15   -13.64 
   53.40   -13.37 
   53.65   -11.70 
   53.90   -10.03 
   54.15    -8.37 
   54.40    -6.70 
   54.65    -5.03 
   54.90    -3.37 
   55.15    -2.70 
   55.40    -2.70 
   55.65    -1.18 
   55.90     0.35 
   56.15     1.87 
   56.40     3.39 
   56.65     4.91 
   56.90     6.44 
   57.15     7.96 
   57.40     9.48 
